bought_on,sold_on,profit
2017-01-06,2017-01-09,0.006319898254956602
2017-01-11,2017-01-19,-0.027641512312979177
2017-01-23,2017-01-24,0.016377619443753932
2017-01-26,2017-01-30,0.027988847083955548
2017-01-31,2017-02-02,0.03992662896156052
2017-02-06,2017-02-07,0.04122804340563313
2017-02-08,2017-02-16,-0.07609799003474793
2017-02-17,2017-02-21,0.014339329451279914
2017-02-24,2017-02-27,0.05284843174560683
2017-03-02,2017-03-07,-0.04497896377346722
2017-03-09,2017-03-10,0.017362852463053136
2017-03-13,2017-03-14,0.028430799729008527
2017-03-15,2017-03-20,0.044303166545690775
2017-03-22,2017-03-23,0.0217144029528491
2017-03-24,2017-03-28,-0.006148464361199091
2017-03-29,2017-03-31,0.009445358761351885
2017-04-04,2017-04-06,-0.030560963399197782
2017-04-11,2017-04-12,0.016261000986013352
2017-04-25,2017-05-02,0.019412807788849795
2017-05-03,2017-05-04,0.012596929168610327
2017-05-05,2017-05-08,0.009286120235807438
2017-05-09,2017-05-11,0.1655340102112408
2017-05-15,2017-06-06,0.14093863931547923
2017-06-07,2017-06-09,0.11063172291199774
2017-06-12,2017-06-16,0.047161978295450435
2017-06-21,2017-06-29,-0.04810062756722289
2017-06-30,2017-07-06,-0.03738641323839165
2017-07-14,2017-07-19,0.03124811677548256
2017-07-20,2017-07-31,-0.005966312770888771
2017-08-01,2017-08-02,0.022327730883645147
2017-08-03,2017-08-04,0.01843401392776456
2017-08-07,2017-08-08,0.03266227222480822
2017-08-09,2017-08-10,0.02214576470063845
2017-08-11,2017-08-14,0.016100285026878547
2017-08-17,2017-08-23,-0.0219040147068027
2017-08-25,2017-08-30,-0.004032004431173686
2017-09-05,2017-09-12,0.009621065864174216
2017-09-13,2017-09-14,0.0011862919069134392
2017-09-19,2017-10-09,-0.014662289371168424
2017-10-11,2017-10-20,0.046888180925451994
2017-10-23,2017-10-25,-0.003539270667219041
2017-10-26,2017-10-30,0.03634871072710588
2017-11-01,2017-11-07,0.005732012960385724
2017-11-09,2017-11-13,0.05295462021211561
2017-11-14,2017-12-04,-0.06079810773822625
2017-12-05,2017-12-06,0.01809212259968973
2017-12-11,2017-12-12,0.004373614227680678
2017-12-13,2017-12-18,0.0036363477830763102
2017-12-20,2017-12-27,-0.0040465506530447115
2017-12-29,2018-01-03,0.02841882091528891
2018-01-05,2018-01-11,0.05046919760669466
2018-01-12,2018-01-18,0.00152055603135004
2018-01-19,2018-01-23,0.03402170147843475
2018-01-24,2018-01-30,0.008659669437577788
2018-02-01,2018-02-02,-0.006372649024123933
2018-02-06,2018-02-07,0.12318986637212137
2018-02-09,2018-02-15,0.02745012921776624
2018-02-16,2018-03-05,-0.044376526733909016
2018-03-14,2018-03-21,-0.0005211049333081474
2018-03-23,2018-03-27,0.022070982830966424
2018-03-28,2018-04-02,0.02056842238843437
2018-04-03,2018-04-05,0.003511865851801854
2018-04-06,2018-04-09,-0.00197943508833176
2018-04-12,2018-04-23,-0.0024782927139945787
2018-04-24,2018-04-27,0.02036280396736667
2018-04-30,2018-05-04,0.021322508572019006
2018-05-09,2018-05-17,-0.020421180469357925
2018-05-21,2018-05-24,-0.009964804884375678
2018-06-06,2018-06-07,0.013655691482370225
2018-06-08,2018-06-11,0.00696260046964392
2018-06-12,2018-06-13,0.0036302961449357074
2018-06-14,2018-06-15,0.0014382139166484453
2018-06-22,2018-06-29,-0.056057398835327676
2018-07-02,2018-07-03,0.040796288611893994
2018-07-05,2018-07-06,0.011168269072432624
2018-07-10,2018-07-11,-0.0010010010010009784
2018-07-12,2018-07-18,0.016161368180272584
2018-07-23,2018-07-26,0.004963534536950531
2018-07-30,2018-08-02,-0.03563086476299193
2018-08-09,2018-08-13,-0.015435729847494528
2018-08-15,2018-08-21,-0.052503105923240256
2018-08-29,2018-08-30,0.012083810588257693
2018-08-31,2018-09-04,0.011371819120882254
2018-09-06,2018-09-10,-0.01796522384976773
2018-09-18,2018-09-20,-0.025685025498862646
2018-09-24,2018-09-25,0.023531588950821636
2018-09-27,2018-10-01,0.05895508511634007
2018-10-03,2018-10-10,-0.09698602532920952
2018-10-11,2018-10-15,0.015815344014590726
2018-10-16,2018-10-17,0.03505190646787493
2018-10-18,2018-10-24,-0.10717483949443307
2018-10-25,2018-10-26,0.014529064921240842
2018-10-30,2018-10-31,0.12382734101761184
2018-11-05,2018-11-12,-0.05788517980054897
2018-11-13,2018-11-14,0.06620495733587806
2018-11-15,2018-11-16,-0.17075394843931524
2018-11-30,2018-12-03,0.09413633029169977
2018-12-04,2018-12-07,-0.05813123193041181
2018-12-10,2018-12-11,0.066940976011991
2018-12-12,2018-12-13,0.01596816565440018
2018-12-14,2018-12-17,-0.013382250736067358
2018-12-20,2018-12-26,-0.06680173590400729
2019-01-02,2019-01-03,0.02411201707900479
2019-01-04,2019-01-07,0.057736348080310584
2019-01-09,2019-01-14,0.03396763588118912
2019-01-16,2019-01-18,0.01828174130303606
2019-01-23,2019-01-25,0.029403989678187026
2019-02-07,2019-02-11,-0.03136376192695489
